Date,Region,signal_type,signal_name,Price_prev,Median_price_per_m2,Price_yoy_pct,Transaction_prev,Transaction_count,Transaction_yoy_pct,Base_rate_prev,Base_rate,Base_rate_change,Price_z,Transaction_z,Signal_score,reason,rank_in_type,severity
2022-05-01,세종특별자치시,rate_price_reverse,금리 ↑ + 주택가격 ↑,482.37110102968586,685.4403783433388,42.09814329261731,867.0,476,-45.09803921568628,0.75,1.75,1.0,2.205426677334899,-0.8045538762485465,3.205,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,31,MEDIUM
2019-04-01,서울특별시,price_surge,주택가격 급등,647.9888781545278,828.511521404555,27.858910752319638,4485.0,3015,-32.77591973244147,1.5,1.75,0.25,3.186512376518743,-1.4040304177592329,3.187,전년 동월 대비 주택가격 상승폭이 같은 시점의 다른 지역보다 매우 크게 나타남,9,MEDIUM
2019-03-01,서울특별시,rate_price_reverse,금리 ↑ + 주택가격 ↑,646.2984723854289,746.93784636006,15.571655864074737,9337.0,2274,-75.64528221056014,1.5,1.75,0.25,2.9241977835878967,-1.5042444017120915,3.174,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,32,MEDIUM
2018-07-01,서울특별시,price_volume_cross,가격 ↑ + 거래량 ↓,658.0964736407594,727.9151943462897,10.60919234520056,14933.0,7013,-53.036898145047886,1.25,1.5,0.25,2.205645981510369,-0.9679399368062408,3.174,주택가격은 상승했지만 거래량은 감소하는 엇갈린 흐름이 나타남,14,MEDIUM
2017-12-01,서울특별시,rate_price_reverse,금리 ↑ + 주택가격 ↑,591.6919621828641,758.8392261507672,28.249034066858886,4212.0,8531,102.5403608736942,1.25,1.5,0.25,2.8877159020118146,2.765629415228073,3.138,금리가 상승한 기간에도 주택가격 상승폭이 같은 시점의 다른 지역보다 크게 나타남,33,MEDIUM
2022-12-01,경기도,transaction_surge,거래량 급증,337.0627054899827,544.4431293644219,61.525769685190646,1855.0,6418,245.98382749326143,0.5,3.25,2.75,2.808405374393709,3.1090559026508737,3.109,전년 동월 대비 거래량 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,19,MEDIUM
2017-02-01,대구광역시,transaction_surge,거래량 급증,302.1764477263894,300.4763925614267,-0.5626034648809197,933.0,1940,107.93140407288317,1.5,1.25,-0.25,-0.7909483332878345,3.0960308190409895,3.096,전년 동월 대비 거래량 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,20,MEDIUM
2017-11-01,서울특별시,price_surge,주택가격 급등,588.662270062234,745.2302903096479,26.597257580456336,5762.0,8125,41.01006594932315,1.25,1.5,0.25,3.078554057827944,1.8924621987197419,3.079,전년 동월 대비 주택가격 상승폭이 같은 시점의 다른 지역보다 매우 크게 나타남,10,MEDIUM
2017-04-01,세종특별자치시,price_volume_cross,가격 ↑ + 거래량 ↓,305.9327418633657,365.26452221043945,19.393733402216956,494.0,337,-31.781376518218625,1.5,1.25,-0.25,2.3196592393388418,-0.7567304272413342,3.076,주택가격은 상승했지만 거래량은 감소하는 엇갈린 흐름이 나타남,15,MEDIUM
2022-03-01,경기도,price_volume_cross,가격 ↑ + 거래량 ↓,392.7210972603872,560.8353866009621,42.80755236052662,31141.0,11918,-61.72891043961337,0.5,1.25,0.75,1.8361834662606984,-1.218518505455468,3.055,주택가격은 상승했지만 거래량은 감소하는 엇갈린 흐름이 나타남,16,MEDIUM
2016-10-01,세종특별자치시,price_surge,주택가격 급등,282.0602662929222,374.4156695108694,32.743145439008856,218.0,980,349.54128440366975,1.5,1.25,-0.25,3.0511774224932164,3.478523733962405,3.051,전년 동월 대비 주택가격 상승폭이 같은 시점의 다른 지역보다 매우 크게 나타남,11,MEDIUM
2017-01-01,세종특별자치시,price_volume_cross,가격 ↑ + 거래량 ↓,293.10385004430213,356.6751551800218,21.689003786920914,332.0,236,-28.915662650602407,1.5,1.25,-0.25,2.5306368560191874,-0.5099517423456541,3.041,주택가격은 상승했지만 거래량은 감소하는 엇갈린 흐름이 나타남,17,MEDIUM
2017-01-01,대구광역시,transaction_surge,거래량 급증,300.7518796992481,297.7185358515795,-1.0085868293498157,787.0,1296,64.67598475222364,1.5,1.25,-0.25,-1.5715695694970235,3.035078558810754,3.035,전년 동월 대비 거래량 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,21,MEDIUM
2016-07-01,세종특별자치시,price_surge,주택가격 급등,224.6151058269172,353.4405725007697,57.35387484273752,168.0,560,233.33333333333334,1.5,1.25,-0.25,3.0263939317498583,3.394650064971624,3.026,전년 동월 대비 주택가격 상승폭이 같은 시점의 다른 지역보다 매우 크게 나타남,12,MEDIUM
2017-10-01,서울특별시,price_surge,주택가격 급등,606.1211576248044,702.8490699317165,15.95851111450357,12129.0,6311,-47.96768076510842,1.25,1.25,0.0,3.0221155086973046,-0.20733933522733677,3.022,전년 동월 대비 주택가격 상승폭이 같은 시점의 다른 지역보다 매우 크게 나타남,13,MEDIUM
