Date,Region_ko,signal_type,signal_name,Natural_growth_prev,Natural_growth,Natural_growth_change,Net_migration_prev,Net_migration,Net_migration_change,Natural_growth_z,Net_migration_z,Natural_growth_change_z,Net_migration_change_z,Signal_score,reason,rank_in_type,severity
2013-03-01,서울특별시,migration_surge,순이동 급증,4650.0,3507.0,-1143.0,-9032.0,-7713.0,1319.0,0.5508336516871445,-3.1371305765795783,-0.5451346429155333,2.2242529816442422,2.224,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,126,MEDIUM
2005-06-01,충청남도,migration_drop,순이동 급감,316.0,226.0,-90.0,5611.0,1315.0,-4296.0,-0.41567687196018605,0.31026295618556676,0.33067851163088774,-2.224470585736244,2.224,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,142,MEDIUM
2016-06-01,경기도,migration_surge,순이동 급증,5219.0,4210.0,-1009.0,7136.0,10215.0,3079.0,1.0546235061511247,2.5853690043633457,-1.1069932501700204,2.2210974407453605,2.221,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,127,MEDIUM
2013-06-01,대구광역시,migration_drop,순이동 급감,833.0,484.0,-349.0,-763.0,-1879.0,-1116.0,-0.30476829563692104,-0.6705127631629212,0.18051978574025687,-2.220076515238798,2.22,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,143,MEDIUM
2015-03-01,경기도,migration_surge,순이동 급증,5386.0,5448.0,62.0,4584.0,8803.0,4219.0,1.1552509078739126,2.497719944346941,0.5018042821437082,2.2178691028291224,2.218,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,128,MEDIUM
2007-07-01,인천광역시,migration_surge,순이동 급증,1068.0,1321.0,253.0,414.0,2224.0,1810.0,-0.2134595783631044,0.9957997857445553,-0.2556805070074269,2.2118482483894395,2.212,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,129,MEDIUM
2009-01-01,인천광역시,migration_reverse,순이동 방향 반전,1388.0,1346.0,-42.0,1801.0,-718.0,-2519.0,-0.22378934333588102,-0.4958415290850755,0.43949595521841617,-1.7140365537023792,2.21,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,54,MEDIUM
2009-09-01,인천광역시,migration_reverse,순이동 방향 반전,1270.0,1144.0,-126.0,-592.0,1048.0,1640.0,-0.23583873041718104,0.33405059725869835,0.26094884884513114,1.8733613429392595,2.207,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,55,MEDIUM
2007-12-01,전북특별자치도,migration_reverse,순이동 방향 반전,-31.0,-26.0,5.0,-1851.0,1282.0,3133.0,-0.4803210967849718,0.2545987304934192,-0.47563358980691817,1.9482928552715804,2.203,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,56,MEDIUM
2017-10-01,서울특별시,migration_surge,순이동 급증,2322.0,1334.0,-988.0,-13258.0,-10741.0,2517.0,0.973588118154288,-2.7161991096338283,-0.4217431972240481,2.199449226361766,2.199,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,130,MEDIUM
