player_name,temp_group,games,AB,H,RBI,season_avg,avg_diff_mean,weather_avg,weather_diff,sample_weight,signal_score,signal_strength
베탄코트,추움,8,33,9,4,0.24736842105263157,0.0005482456140350964,0.2727272727272727,0.025358851674641136,5.744562646538029,0.14567551208924182,0.14567551208924182
베탄코트,보통,40,151,38,19,0.24736842105263157,-0.0040350877192982405,0.25165562913907286,0.004287208086441285,12.288205727444508,0.05268209496255421,0.05268209496255421
샌즈,추움,21,86,29,18,0.30522088353413657,0.021763243449990415,0.3372093023255814,0.03198841879144482,9.273618495495704,0.29664839214600497,0.29664839214600497
샌즈,보통,76,282,85,69,0.30522088353413657,-0.016624392306066393,0.30141843971631205,-0.003802443817824519,16.792855623746664,-0.06385389005013521,0.06385389005013521
샌즈,더움,34,130,38,23,0.30522088353413657,-0.010122844318450293,0.2923076923076923,-0.012913191226444243,11.40175425099138,-0.14723303295997522,0.14723303295997522
서건창,추움,21,79,21,7,0.3055555555555556,-0.04761904761904765,0.26582278481012656,-0.039732770745429025,8.888194417315589,-0.3531525911240024,0.3531525911240024
서건창,보통,62,233,74,19,0.3055555555555556,-0.005555555555555581,0.31759656652360513,0.012041010968049548,15.264337522473747,0.18379805552811665,0.18379805552811665
서건창,더움,22,84,26,12,0.3055555555555556,-0.007070707070707096,0.30952380952380953,0.003968253968253954,9.16515138991168,0.036369648372665264,0.036369648372665264
손시헌,보통,28,88,25,4,0.2698412698412698,-0.00019841269841268185,0.2840909090909091,0.01424963924963929,9.38083151964686,0.13367346501661329,0.13367346501661329
손아섭,추움,15,56,14,4,0.2925311203319502,-0.05475334255417245,0.25,-0.04253112033195022,7.483314773547883,-0.31827376111562583,0.31827376111562583
손아섭,보통,83,324,95,37,0.2925311203319502,-0.020844373343998416,0.2932098765432099,0.000678756211259679,18.0,0.012217611802674222,0.012217611802674222
손아섭,더움,27,102,32,14,0.2925311203319502,0.010555299421136196,0.3137254901960784,0.021194369864128204,10.099504938362077,0.21405264310823519,0.21405264310823519
송광민,추움,20,73,22,6,0.26730310262529833,0.007696897374701669,0.3013698630136986,0.034066760388400286,8.54400374531753,0.29106652834932695,0.29106652834932695
송광민,보통,56,199,53,25,0.26730310262529833,-0.005398340720536423,0.2663316582914573,-0.0009714443338410539,14.106735979665885,-0.013703908736438153,0.013703908736438153
송광민,더움,38,147,37,11,0.26730310262529833,-0.019057488590210607,0.25170068027210885,-0.015602422353189482,12.12435565298214,-0.18916931765810782,0.18916931765810782
송성문,추움,14,42,9,4,0.23693379790940766,-0.03574332171893147,0.21428571428571427,-0.022648083623693388,6.48074069840786,-0.14677635728101432,0.14677635728101432
송성문,보통,42,130,25,7,0.23693379790940766,-0.0636344781815165,0.19230769230769232,-0.04462610560171534,11.40175425099138,-0.5088158892495481,0.5088158892495481
송성문,더움,32,115,34,21,0.23693379790940766,0.046399535423925664,0.2956521739130435,0.05871837600363583,10.723805294763608,0.6296844314877102,0.6296844314877102
스몰린스키,보통,26,97,26,18,0.22926829268292684,0.015603502188868041,0.26804123711340205,0.038772944430475215,9.848857801796104,0.3818692162526926,0.3818692162526926
스몰린스키,더움,29,108,21,24,0.22926829268292684,-0.058578637510513044,0.19444444444444445,-0.03482384823848239,10.392304845413264,-0.3619000467847167,0.3619000467847167
신본기,추움,16,53,12,2,0.24786324786324787,-0.04577991452991454,0.22641509433962265,-0.021448153523625224,7.280109889280518,-0.15614491457415078,0.15614491457415078
신본기,보통,77,242,59,17,0.24786324786324787,-0.0030580530580530682,0.24380165289256198,-0.0040615949706858945,15.556349186104045,-0.0631835896165138,0.0631835896165138
신본기,더움,17,56,16,3,0.24786324786324787,-0.0076671694318753226,0.2857142857142857,0.03785103785103783,7.483314773547883,0.28325123074479147,0.28325123074479147
심우준,추움,18,55,12,1,0.28,-0.0864814814814815,0.21818181818181817,-0.061818181818181855,7.416198487095663,-0.4584559064750049,0.4584559064750049
심우준,보통,73,215,61,22,0.28,-0.0012328767123287985,0.2837209302325581,0.003720930232558095,14.66287829861518,0.05455954715763723,0.05455954715763723
심우준,더움,29,105,32,5,0.28,0.02747126436781606,0.3047619047619048,0.024761904761904763,10.246950765959598,0.2537340189666186,0.2537340189666186
아수아헤,추움,16,46,7,3,0.23529411764705882,-0.11654411764705883,0.15217391304347827,-0.08312020460358055,6.782329983125268,-0.5637486558863714,0.5637486558863714
아수아헤,보통,24,90,25,16,0.23529411764705882,0.015400326797385623,0.2777777777777778,0.04248366013071897,9.486832980505138,0.40303538806067596,0.40303538806067596
