player_name,rain_group,games,AB,H,season_avg,weather_avg,weather_diff,sample_weight,signal_score,signal_strength
김민혁,비없음,87,327,90,0.2803532008830022,0.27522935779816515,-0.005123843084837043,18.083141320025124,-0.09265517860474173,0.09265517860474173
김상수,비,31,114,30,0.268018018018018,0.2631578947368421,-0.00486012328117591,10.677078252031311,-0.05189191658763437,0.05189191658763437
김상수,비없음,89,330,89,0.268018018018018,0.2696969696969697,0.0016789516789517123,18.16590212458495,0.030499671871744377,0.030499671871744377
김선빈,비,33,98,29,0.2978723404255319,0.29591836734693877,-0.0019539730785931297,9.899494936611665,-0.019343346597808196,0.019343346597808196
김선빈,비없음,80,278,83,0.2978723404255319,0.29856115107913667,0.0006888106536047656,16.673332000533065,0.011484768713056434,0.011484768713056434
김성욱,비,23,63,19,0.24436090225563908,0.30158730158730157,0.057226399331662486,7.937253933193772,0.45422046317775555,0.45422046317775555
김성욱,비없음,74,203,46,0.24436090225563908,0.22660098522167488,-0.017759917033964207,14.247806848775006,-0.25303986755019114,0.25303986755019114
김성현,비,27,83,24,0.2531017369727047,0.2891566265060241,0.03605488953331937,9.1104335791443,0.3284756762966911,0.3284756762966911
김성현,비없음,103,320,78,0.2531017369727047,0.24375,-0.009351736972704722,17.88854381999832,-0.16728895662932683,0.16728895662932683
김용의,비,18,41,8,0.21910112359550563,0.1951219512195122,-0.023979172375993424,6.4031242374328485,-0.15354161983430373,0.15354161983430373
김용의,비없음,57,137,31,0.21910112359550563,0.22627737226277372,0.007176248667268098,11.704699910719626,0.08399583713507475,0.08399583713507475
김재호,비,28,83,22,0.27873563218390807,0.26506024096385544,-0.013675391220052624,9.1104335791443,-0.12458874337910256,0.12458874337910256
김재호,비없음,88,265,75,0.27873563218390807,0.2830188679245283,0.004283235740620228,16.278820596099706,0.06972602619235894,0.06972602619235894
김재환,비,27,92,31,0.28104575163398693,0.33695652173913043,0.055910770105143504,9.591663046625438,0.5362772675258752,0.5362772675258752
김재환,비없음,98,367,98,0.28104575163398693,0.2670299727520436,-0.01401577888194333,19.157244060668017,-0.26850369674174507,0.26850369674174507
김주찬,비,26,79,29,0.30491803278688523,0.3670886075949367,0.06217057480805149,8.888194417315589,0.5525841559302245,0.5525841559302245
김주찬,비없음,65,226,64,0.30491803278688523,0.2831858407079646,-0.02173219207892063,15.033296378372908,-0.3267064844741419,0.3267064844741419
김찬형,비없음,41,111,31,0.2826086956521739,0.27927927927927926,-0.0033294163728946335,10.535653752852738,-0.035077578103896695,0.035077578103896695
김태균,비,29,95,30,0.29876543209876544,0.3157894736842105,0.01702404158544507,9.746794344808963,0.16592983225080862,0.16592983225080862
김태균,비없음,89,310,91,0.29876543209876544,0.29354838709677417,-0.005217045001991272,17.60681686165901,-0.09185555590909378,0.09185555590909378
김태진,비,27,88,26,0.27945205479452057,0.29545454545454547,0.016002490660024904,9.38083151964686,0.1501166687764161,0.1501166687764161
김태진,비없음,84,277,76,0.27945205479452057,0.2743682310469314,-0.005083823747589145,16.64331697709324,-0.08461169008680018,0.08461169008680018
김하성,비,46,182,64,0.30980392156862746,0.3516483516483517,0.041844430079724215,13.490737563232042,0.5645122246885722,0.5645122246885722
김하성,비없음,85,328,94,0.30980392156862746,0.2865853658536585,-0.023218555714968947,18.110770276274835,-0.4205059287006908,0.4205059287006908
김헌곤,비,28,104,33,0.29521276595744683,0.3173076923076923,0.02209492635024546,10.198039027185569,0.22532492122259398,0.22532492122259398
김헌곤,비없음,77,272,78,0.29521276595744683,0.2867647058823529,-0.00844806007509391,16.492422502470642,-0.13932897608470263,0.13932897608470263
