gameinfo,year,id,team,inning1,inning2,inning3,inning4,inning5,inning6,inning7,inning8,inning9,inning10,inning11,inning12,H,AB,AVG,R,RBI,game_date,player_name,team_2019,opponent,team_H,team_HR,team_RBI,team_RUN,team_OBP,team_win,home_team,region,temperature,rainfall,wind_speed,humidity,pressure,ground_temp
20190402LTSK0,2019,62556,LT,0,0,1118,7300,0,1017,0,2000,0,0,0,0,2,4,0,0,1,2019-04-02,신본기,롯데,SK,10.0,1.0,5.0,5.0,0.380952381,1.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,63704,SK,7100,0,7100,0,2000,0,0,1003,0,0,0,0,1,4,0,0,0,2019-04-02,노수광,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,61353,SK,2000,0,7101,0,2000,0,0,0,0,0,0,0,0,3,0,0,0,2019-04-02,고종욱,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,73209,SK,0,0,0,0,0,0,0,7003,0,0,0,0,0,1,0,0,0,2019-04-02,나주환,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,71837,SK,1017,0,0,2000,7107,0,0,7407,0,0,0,0,1,4,0,0,0,2019-04-02,김강민,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,67872,SK,7102,0,0,1018,0,7302,0,7400,0,0,0,0,1,4,0,0,0,2019-04-02,로맥,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,76812,SK,0,2000,0,7006,0,7102,0,0,7107,0,0,0,0,4,0,0,0,2019-04-02,이재원,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,75847,SK,0,7101,0,3000,0,7301,0,0,7104,0,0,0,0,3,0,0,0,2019-04-02,최정,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,75151,SK,0,1117,0,3000,0,0,2000,0,1011,0,0,0,2,3,0,0,0,2019-04-02,정의윤,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,62884,SK,0,7101,0,2000,0,0,2000,0,2000,0,0,0,0,4,0,0,0,2019-04-02,최항,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402LTSK0,2019,76802,SK,0,0,1017,0,1013,0,7003,0,0,0,0,0,2,3,0,0,0,2019-04-02,김성현,SK,LT,7.0,0.0,0.0,0.0,0.257142857,0.0,SK,인천,6.641666666666667,0.0,3.533333333333333,48.25,1014.275,7.824999999999999
20190402HTSS0,2019,76849,HT,7404,2000,0,1003,0,3000,0,2000,0,0,0,0,1,4,0,0,0,2019-04-02,이명기,기아-NC,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,69605,HT,3100,7006,0,7004,0,2000,0,0,2000,0,0,0,0,4,0,1,0,2019-04-02,해즐베이커,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,64560,HT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-02,이창진,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,79608,HT,7101,0,3000,1018,0,1011,0,0,1116,0,0,0,3,4,0,1,0,2019-04-02,안치홍,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,72443,HT,3000,0,3000,7304,0,2000,0,0,3000,0,0,0,0,2,0,1,0,2019-04-02,최형우,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,64657,HT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-02,박준태,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,70410,HT,7104,0,1117,0,7102,0,7104,0,2000,0,0,0,1,5,0,0,1,2019-04-02,김주찬,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,78629,HT,0,2000,2000,0,7102,0,7001,0,2000,0,0,0,0,5,0,0,0,2019-04-02,나지완,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
